season,crop,area,production
Kharif,Arecanut,1254,2000
Kharif,Other Kharif pulses,2,1
Kharif,Rice,102,321
Whole Year,Banana,176,641
Whole Year,Cashewnut,720,165
Whole Year,Coconut,18168,65100000
Whole Year,Dry ginger,36,100
Whole Year,Sugarcane,1,2
Whole Year,Sweet potato,5,15
Whole Year,Tapioca,40,169
Kharif,Arecanut,1254,2061
Kharif,Other Kharif pulses,2,1
Kharif,Rice,83,300
Whole Year,Cashewnut,719,192
Whole Year,Coconut,18190,64430000
Whole Year,Dry ginger,46,100
Whole Year,Sugarcane,1,1
Whole Year,Sweet potato,11,33
Kharif,Rice,189.2,510.84
Whole Year,Arecanut,1258,2083
Whole Year,Banana,213,1278
Whole Year,Black pepper,63,13.5
Whole Year,Cashewnut,719,208
Whole Year,Coconut,18240,67490000
Whole Year,Dry chillies,413,28.8
Whole Year,Dry ginger,47.3,133
Whole Year,Sugarcane,5,40
Kharif,Rice,52,90.17
Whole Year,Arecanut,1261,1525
Whole Year,Banana,266,1763
Whole Year,Black pepper,75.5,15.86
Whole Year,Cashewnut,717,208.5
Whole Year,Coconut,18284.74,68580000
Whole Year,Dry chillies,60,102
Whole Year,Dry ginger,102,326.4
Whole Year,other oilseeds,4.2,0.3
Kharif,Rice,52.94,72.57
Whole Year,Arecanut,1264.7,805.85
Whole Year,Banana,66.42,404.12
Whole Year,Black pepper,85,15.86
Whole Year,Cashewnut,683.5,197.9
Whole Year,Coconut,18394.7,52380000
Whole Year,Dry chillies,60,145.2
Whole Year,Dry ginger,118,366
Whole Year,other oilseeds,1,0.11
Kharif,Rice,2.09,12.06
Whole Year,Arecanut,795.67,
Whole Year,Banana,22,582
Whole Year,Black pepper,41,0.1
Whole Year,Cashewnut,450,55.8
Whole Year,Coconut,13876.57,52030000
Whole Year,Dry chillies,17,
Whole Year,Turmeric,10,70
Whole Year,Arecanut,896,477.6
Whole Year,Banana,198,976
Whole Year,Black pepper,22.16,0.68
Whole Year,Cashewnut,450,85.13
Whole Year,Coconut,14358,59370000
Whole Year,Dry chillies,3,9
Whole Year,Dry ginger,6,21
Whole Year,Sugarcane,0.2,0.5
Whole Year,Sweet potato,18,86
Whole Year,Tapioca,52.03,450
Whole Year,Turmeric,2.5,1.03
Autumn,Rice,3.5,10
Autumn,Sugarcane,13.4,41.75
Rabi,Arecanut,944,1610
Rabi,Black pepper,23,8.5
Rabi,Cashewnut,1000.5,260.5
Rabi,Dry chillies,12,25
Rabi,Dry ginger,7,9.64
Rabi,Maize,3.84,18.22
Rabi,Moong(Green Gram),1.5,1.1
Rabi,Sweet potato,22,208
Rabi,Turmeric,2,0.5
Rabi,Urad,1.5,1.16
Whole Year,Banana,593,3425
Whole Year,Coconut,14560,71300000
Whole Year,Tapioca,69,575
Kharif,Arecanut,3100,5200
Kharif,Other Kharif pulses,668,448
Kharif,Rice,10779,31863
Whole Year,Banana,1531,12073
Whole Year,Cashewnut,80,54
